"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId"
"2025-06-12 12:49:51",1749732591002,"www.createa.meme/_next/image","GET","",200,"k57wg-1749732590677-103d6e1cc113","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","info","production","","","static","/_next/image","www.createa.meme","www.createa.meme","dpl_FGWX5yEqtDkVujKCxxERayqxbCWb",-1,"",-1,-1,"","prj_2WmnKloNzNT8aQ1tQYoeAuOVNlyc","","","",""
"2025-06-12 12:49:29",1749732569930,"www.createa.meme/api/customizeImage","POST","",-1,"t9pfp-1749732568404-be37a69fb50e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/customizeImage","www.createa.meme","www.createa.meme","dpl_FGWX5yEqtDkVujKCxxERayqxbCWb",-1,"iad1",-1,-1,"User prompt: ""Add a text on top saying i love femboy"", AI caption response: """"When you say you're a 'foodie' but all you want is femboy: 'I have a very particular taste.'""""","prj_2WmnKloNzNT8aQ1tQYoeAuOVNlyc","","","01JXJ30BAXR55DXPRX8FPJVDYY",""
"2025-06-12 12:49:28",1749732568413,"www.createa.meme/api/customizeImage","POST","",200,"t9pfp-1749732568404-be37a69fb50e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/customizeImage","www.createa.meme","www.createa.meme","dpl_FGWX5yEqtDkVujKCxxERayqxbCWb",1497,"iad1",126,1024,"","prj_2WmnKloNzNT8aQ1tQYoeAuOVNlyc","","","01JXJ30BAXR55DXPRX8FPJVDYY","6eRw0m1gN3CC"
"2025-06-12 12:49:28",1749732568365,"www.createa.meme/api/checkRateLimit","GET","mode=custom&isPlusUser=false",-1,"zq6qm-1749732567963-6e4e26be5508","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/checkRateLimit","www.createa.meme","www.createa.meme","dpl_FGWX5yEqtDkVujKCxxERayqxbCWb",-1,"iad1",-1,-1,"[Rate Limit Check] Mode: custom, IP: 162.158.63.45, Limit: 3, Duration: 10800, IsPlusUser: false, Allowed: true","prj_2WmnKloNzNT8aQ1tQYoeAuOVNlyc","","","01JXJ30AXCBTP5MN7Z38YAM7DS",""
"2025-06-12 12:49:27",1749732567980,"www.createa.meme/api/checkRateLimit","GET","mode=custom&isPlusUser=false",200,"zq6qm-1749732567963-6e4e26be5508","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/checkRateLimit","www.createa.meme","www.createa.meme","dpl_FGWX5yEqtDkVujKCxxERayqxbCWb",381,"iad1",114,1024,"","prj_2WmnKloNzNT8aQ1tQYoeAuOVNlyc","","","01JXJ30AXCBTP5MN7Z38YAM7DS","6eRw0m1gN3CC"
"2025-06-12 12:48:11",1749732491598,"www.createa.meme/api/generateImage","POST","",504,"2vtsw-1749732491549-7be955dbb87e","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/api/generateImage","www.createa.meme","www.createa.meme","dpl_FGWX5yEqtDkVujKCxxERayqxbCWb",15000,"iad1",128,1024,"","prj_2WmnKloNzNT8aQ1tQYoeAuOVNlyc","","","01JXJ2Y0AEZYHYFCX8DNKQA13A",""
"2025-06-12 12:48:11",1749732491202,"www.createa.meme/api/checkRateLimit","GET","mode=magic&isPlusUser=false",-1,"td8vh-1749732490498-78af3553babd","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/checkRateLimit","www.createa.meme","www.createa.meme","dpl_FGWX5yEqtDkVujKCxxERayqxbCWb",-1,"iad1",-1,-1,"[Rate Limit Check] Mode: magic, IP: 162.158.186.28, Limit: 3, Duration: 10800, IsPlusUser: false, Allowed: true","prj_2WmnKloNzNT8aQ1tQYoeAuOVNlyc","","","01JXJ2XZ9K4YWEPMWAV0RN6MDD",""
"2025-06-12 12:48:10",1749732490547,"www.createa.meme/api/checkRateLimit","GET","mode=magic&isPlusUser=false",200,"td8vh-1749732490498-78af3553babd","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/checkRateLimit","www.createa.meme","www.createa.meme","dpl_FGWX5yEqtDkVujKCxxERayqxbCWb",664,"iad1",120,1024,"","prj_2WmnKloNzNT8aQ1tQYoeAuOVNlyc","","","01JXJ2XZ9K4YWEPMWAV0RN6MDD","oaSCBp24QPCN"
"2025-06-12 12:47:53",1749732473145,"www.createa.meme/api/generateImage","POST","",504,"24dl4-1749732472948-265a5f7de368","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/api/generateImage","www.createa.meme","www.createa.meme","dpl_FGWX5yEqtDkVujKCxxERayqxbCWb",15000,"iad1",126,1024,"","prj_2WmnKloNzNT8aQ1tQYoeAuOVNlyc","","","01JXJ2XE9S1EB4TWZHCY287FKV",""
"2025-06-12 12:47:52",1749732472583,"www.createa.meme/api/checkRateLimit","GET","mode=magic&isPlusUser=false",-1,"9c4dd-1749732472203-c2b822476b16","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/api/checkRateLimit","www.createa.meme","www.createa.meme","dpl_FGWX5yEqtDkVujKCxxERayqxbCWb",-1,"iad1",-1,-1,"[Rate Limit Check] Mode: magic, IP: 162.158.186.28, Limit: 3, Duration: 10800, IsPlusUser: false, Allowed: true","prj_2WmnKloNzNT8aQ1tQYoeAuOVNlyc","","","01JXJ2XDJ7ASJ14BBNNDCRPG5M",""
